identifier,name,description,category,implementation_status
AC-01,Access Control Policy Enforcement,"All users must authenticate via multi-factor authentication (MFA) before accessing production systems. Access is granted based on role-based access control (RBAC) with least-privilege principles.",Access Control,Implemented
AM-01,Asset Inventory Management,"Maintain a comprehensive inventory of all hardware and software assets, updated quarterly. Each asset must have an assigned owner and classification level.",Asset Management,Implemented
RA-01,Vulnerability Scanning,"Automated vulnerability scans are performed weekly on all internet-facing systems and monthly on internal systems. Critical vulnerabilities must be remediated within 72 hours.",Risk Assessment,Implemented
AT-01,Security Awareness Training,"All employees must complete annual security awareness training covering phishing, social engineering, password hygiene, and data handling. New hires complete training within 30 days.",Training & Awareness,Implemented
IR-01,Incident Response Plan,"A documented incident response plan defines roles, communication procedures, escalation paths, and recovery steps. Tabletop exercises are conducted semi-annually.",Incident Response,Implemented
DP-01,Data Encryption at Rest,"All sensitive data stored in databases and file systems must be encrypted using AES-256. Encryption keys are managed through a centralized key management system.",Data Protection,Implemented
NS-01,Network Segmentation,"Production, staging, and corporate networks are logically segmented using VLANs and firewall rules. Inter-segment traffic is restricted to approved flows only.",Network Security,Implemented
BC-01,Backup and Recovery,"Daily incremental and weekly full backups are performed for all critical systems. Backup integrity is verified monthly and restoration tests are conducted quarterly.",Business Continuity,Implemented
CM-01,Change Management Process,"All changes to production systems require a documented change request, peer review, testing in staging, and approval from the change advisory board before deployment.",Change Management,Partially Implemented
SC-01,Third-Party Risk Assessment,"Vendors with access to sensitive data undergo security assessments before onboarding and annually thereafter. Assessments include SOC 2 report review and questionnaire.",Supply Chain,Partially Implemented
TD-01,Endpoint Detection and Response,"EDR agents are deployed on all endpoints including laptops, desktops, and servers. Alerts are monitored 24/7 by the security operations team.",Threat Detection,Implemented
MO-01,Logging and Monitoring,"Security-relevant events are collected from all systems into a centralized SIEM. Logs are retained for 12 months and reviewed daily for anomalies.",Monitoring,Implemented
PS-01,Physical Access Controls,"Data center access requires badge authentication and biometric verification. Visitor access requires escort and is logged. CCTV covers all entry points.",Physical Security,Implemented
DS-01,Secure Software Development,"Development follows OWASP guidelines. All code undergoes static analysis and peer review before merge. Penetration testing is performed before major releases.",Development Security,Partially Implemented
DG-01,Data Classification,"All data is classified as Public, Internal, Confidential, or Restricted. Handling procedures are defined for each classification level and enforced through DLP tools.",Data Governance,Implemented
